SLICES,eform,bandgap
Li Li Mn Mn O O O O 0 7 oo- 0 5 ooo 0 6 ooo 0 6 -oo 0 4 oo- 0 4 -o- 1 4 o-o 1 6 ooo 1 7 ooo 1 7 +oo 1 5 o-o 1 5 +-o 2 4 o-- 2 4 --- 2 6 ooo 2 6 -oo 2 7 oo- 2 5 o-o 3 5 ooo 3 5 +oo 3 7 ooo 3 7 +oo 3 4 ooo 3 6 ooo ,-2.117313932191093,0.8595000000000002
K K Hg Hg Hg Ge Ge S S S S S S S S 0 11 +oo 0 11 ooo 0 13 ooo 0 8 oo- 0 10 ooo 0 10 o+o 0 7 +oo 1 14 o-o 1 14 ooo 1 12 ooo 1 7 oo+ 1 9 ooo 1 9 -oo 1 8 o-o 2 8 oo- 2 7 ooo 3 9 ooo 3 10 ooo 3 13 o-o 3 12 +oo 4 14 ooo 4 11 ooo 4 12 ooo 4 13 ooo 5 13 ooo 5 9 ooo 5 14 +oo 5 8 ooo 6 12 ooo 6 10 ooo 6 11 o-o 6 7 ooo ,-0.7979987577333333,2.0282
Ti Ti Ti Ti Ti Ti N N N N O O O O O O 0 12 ooo 0 13 +oo 0 13 o+o 0 7 ooo 0 6 ooo 0 10 ooo 1 14 ++o 1 12 oo+ 1 9 +oo 1 9 o+o 1 6 oo+ 1 11 ooo 2 15 ++o 2 7 ooo 2 8 o+o 2 8 +oo 2 10 ooo 2 11 ooo 3 11 -oo 3 11 o-o 3 15 ooo 3 14 ooo 3 8 ooo 3 9 ooo 4 14 oo- 4 12 --o 4 6 o-o 4 6 -oo 4 9 oo- 4 13 ooo 5 7 --o 5 10 -oo 5 10 o-o 5 15 ooo 5 13 ooo 5 8 ooo ,-2.65167092125,1.6513999999999998
P P P P O O O O O O O O O O 0 4 ooo 0 9 ooo 0 13 oo- 0 10 ooo 1 5 ooo 1 9 ooo 1 12 o-o 1 11 ooo 2 6 -oo 2 8 -oo 2 11 ooo 2 12 -oo 3 7 ooo 3 8 ooo 3 10 ooo 3 13 ooo ,-2.438859942380953,5.2021
Cs Cs Ce Cl Cl Cl Cl Cl Cl 0 3 oo- 0 3 ooo 0 5 oo- 0 5 ooo 0 4 oo- 0 4 ooo 0 6 -oo 0 6 ooo 0 8 o+o 0 8 ooo 0 7 -oo 0 7 o+o 1 8 oo+ 1 8 ooo 1 6 oo+ 1 6 ooo 1 7 oo+ 1 7 ooo 1 3 +oo 1 3 ooo 1 5 o-o 1 5 ooo 1 4 o-o 1 4 +oo 2 4 o-- 2 7 -oo 2 3 oo- 2 6 --o 2 8 ooo 2 5 --- ,-2.45650855454023,1.7090999999999998
Ga Cu Ge Se Se Se Se 0 6 oo- 0 5 ooo 0 4 ooo 0 3 oo- 1 3 o+o 1 4 ooo 1 5 oo+ 1 6 -o- 2 3 +oo 2 4 ooo 2 6 ooo 2 5 o-o ,-0.6582163459821432,0.7335000000000003
La Pr Pr Pr Ga Ga Ga Ga O O O O O O O O O O O O 0 9 ooo 0 13 ooo 0 19 ooo 0 8 ooo 0 18 ooo 0 12 ooo 0 15 ooo 0 17 ooo 1 8 o-- 1 12 oo- 1 18 oo- 1 9 o-o 1 13 ooo 1 19 ooo 1 14 o-o 1 16 o-o 2 11 ooo 2 15 ooo 2 17 -oo 2 10 ooo 2 16 ooo 2 14 -oo 2 19 ooo 2 13 -oo 3 10 o++ 3 16 oo+ 3 14 -o+ 3 11 o+o 3 15 ooo 3 17 -oo 3 12 o+o 3 18 -+o 4 19 ooo 4 15 o-o 4 11 ooo 4 12 ooo 4 16 o-o 4 9 o-o 5 18 ooo 5 17 ooo 5 14 oo+ 5 10 +o+ 5 8 ooo 5 13 oo+ 6 13 ooo 6 17 o-o 6 11 +oo 6 18 ooo 6 14 o-o 6 9 o-o 7 12 ooo 7 15 ooo 7 16 oo+ 7 10 oo+ 7 8 ooo 7 19 oo+ ,-3.0511157485,3.4339
Ca Ca Ca Ca Ca Ca V V N N N N N N 0 10 o+o 0 8 ooo 0 13 oo- 0 13 ooo 0 12 o+o 1 11 o-o 1 9 ooo 1 12 ooo 1 12 oo+ 1 13 o-o 2 11 +-o 2 10 ooo 2 10 oo+ 2 13 o-o 2 9 +oo 3 10 -+o 3 11 ooo 3 11 oo- 3 8 -oo 3 12 o+o 4 11 +oo 4 13 ooo 4 8 oo+ 4 8 ooo 4 9 +oo 5 10 -oo 5 12 ooo 5 9 oo- 5 9 ooo 5 8 -oo 6 11 ooo 6 9 ooo 6 13 ooo 7 10 ooo 7 12 ooo 7 8 ooo ,-1.215528256428571,0.8535999999999997
Rb Rb Na Cr Cl Cl Cl Cl Cl Cl 0 7 -oo 0 7 oo- 0 5 oo- 0 5 o-o 0 9 -oo 0 9 o-o 0 4 -oo 0 4 ooo 0 8 oo- 0 8 ooo 0 6 o-o 0 6 ooo 1 4 oo+ 1 4 o+o 1 8 +oo 1 8 o+o 1 6 +oo 1 6 oo+ 1 9 ooo 1 9 oo+ 1 7 ooo 1 7 o+o 1 5 ooo 1 5 +oo 2 4 ooo 2 5 ooo 2 7 ooo 2 9 ooo 2 6 ooo 2 8 ooo 3 5 o-- 3 6 o-o 3 8 oo- 3 9 --o 3 4 -oo 3 7 -o- ,-1.989393484155172,1.4031
Rb Rb Ce Cu Br Br Br Br Br Br 0 9 ooo 0 9 oo+ 0 5 +oo 0 5 o+o 0 7 +oo 0 7 oo+ 0 4 o+o 0 4 oo+ 0 8 ooo 0 8 o+o 0 6 ooo 0 6 +oo 1 4 ooo 1 4 -oo 1 8 oo- 1 8 -oo 1 6 oo- 1 6 o-o 1 9 -oo 1 9 o-o 1 5 oo- 1 5 ooo 1 7 o-o 1 7 ooo 2 7 ooo 2 9 ooo 2 5 ooo 2 6 ooo 2 8 ooo 2 4 ooo 3 5 oo- 3 7 o-o 3 8 -o- 3 4 -oo 3 9 --o 3 6 o-- ,-1.7969229465000005,0.2734999999999998
