SLICES,eform,bandgap
Li Li Li Li Sb Te Te Te O O O O O O O O O O O O 0 9 oo- 0 18 o-o 0 14 ooo 0 13 o-- 1 17 ooo 1 10 oo- 1 13 oo- 1 14 ooo 2 16 ooo 2 11 o-o 2 8 ooo 2 19 o-o 3 15 ooo 3 12 ooo 3 19 ooo 3 8 ooo 4 19 o-o 4 8 oo- 4 15 ooo 4 12 o-- 4 10 +o- 4 17 +-o 5 18 ooo 5 9 oo- 5 16 ooo 5 11 oo- 5 8 oo- 5 19 ooo 6 14 ooo 6 13 o-o 6 17 o-o 6 10 ooo 6 15 -oo 6 12 --o 7 11 ooo 7 16 ooo 7 9 ooo 7 18 ooo 7 13 ooo 7 14 ooo ,-1.8182863521666668,0.0432999999999994
Sr Sr C C C C 0 3 ooo 0 3 -oo 0 3 -+o 0 2 ooo 0 2 o+o 0 2 -+o 0 5 -oo 0 4 o+- 1 4 ooo 1 4 +oo 1 4 +-o 1 5 ooo 1 5 o-o 1 5 +-o 1 3 o-+ 1 2 +oo 2 5 o-o 3 4 +o- ,0.0190095077777788,2.4194
V V V V O O O O O O O F F F F F 0 10 -oo 0 12 o-o 0 11 ooo 0 8 ooo 0 5 ooo 0 6 ooo 1 4 ooo 1 8 ooo 1 12 ooo 1 13 ooo 1 7 ooo 1 10 ooo 2 9 ooo 2 7 ooo 2 13 o+o 2 14 ooo 2 15 ooo 2 4 +oo 3 6 ooo 3 5 +oo 3 11 +-o 3 14 oo- 3 15 o-- 3 9 +-- ,-2.52538262421875,1.5328
Li Li Co Co Ge Ge O O O O O O O O 0 6 oo+ 0 9 -oo 0 11 oo+ 0 8 ooo 1 10 ooo 1 13 +oo 1 7 ooo 1 12 ooo 2 11 +oo 2 12 ooo 2 10 o+- 2 9 o+- 3 7 -oo 3 8 ooo 3 6 o+o 3 13 o+o 4 13 ooo 4 12 ooo 4 11 ooo 4 6 o+o 5 9 ooo 5 8 ooo 5 7 ooo 5 10 o+o ,-1.8440230747619053,1.3676
La La W W N N N N N N 0 8 ooo 0 9 ooo 0 4 ooo 0 7 ooo 0 6 ooo 0 5 ooo 1 7 oo- 1 6 o-o 1 5 -oo 1 8 --o 1 9 o-- 1 4 -o- 2 5 oo+ 2 7 o+o 2 6 +oo 2 4 o+o 2 9 +oo 2 8 oo+ 3 4 -oo 3 8 o-o 3 9 oo- 3 5 ooo 3 6 ooo 3 7 ooo ,-1.2223762499999993,1.2941000000000011
Ag Ag Ag Ag P P P P O O O O O O O O O O O O 0 19 +o+ 0 19 oo+ 0 9 +oo 0 9 ooo 0 8 o-o 0 12 ooo 1 14 ooo 1 14 -oo 1 12 ooo 1 12 -oo 1 13 o+o 1 9 ooo 2 13 ooo 2 13 +oo 2 15 ooo 2 15 +oo 2 14 o-o 2 18 ooo 3 8 -o- 3 8 oo- 3 18 -oo 3 18 ooo 3 19 o+o 3 15 ooo 4 8 ooo 4 9 ooo 4 10 o+o 4 11 ooo 5 13 ooo 5 12 -oo 5 11 --o 5 10 ooo 6 14 ooo 6 15 +oo 6 16 ++o 6 17 ooo 7 19 ooo 7 18 ooo 7 17 o-o 7 16 ooo ,-1.9151138679999988,2.1105
V V V V V V O O O O O O O O O O O F 0 8 oo- 0 11 ooo 0 6 o+- 0 16 -oo 0 14 oo- 0 13 ooo 1 6 ooo 1 10 -oo 1 12 ooo 1 7 -o+ 1 8 ooo 1 14 -oo 2 15 ooo 2 8 ooo 2 11 ooo 2 9 ooo 2 12 ooo 2 17 ooo 3 13 ooo 3 12 ooo 3 16 -oo 3 7 -oo 3 15 o-o 3 17 -oo 4 14 ooo 4 9 ooo 4 6 o+o 4 10 o+o 4 15 +oo 4 17 o+o 5 16 ooo 5 7 o+o 5 9 ooo 5 10 o+- 5 11 ooo 5 13 o+o ,-2.5170550759722223,0.528
Ag Ag Ag Ag Ag Ag Ag Ag Ge Te Te Te Te Te Te 0 13 ooo 0 9 oo+ 0 11 ooo 0 10 -oo 0 1 -+o 0 4 oo+ 0 5 -oo 0 7 ooo 1 12 ooo 1 11 ooo 1 9 +-+ 1 3 oo+ 1 5 o-o 2 9 +oo 2 10 ooo 2 13 ooo 2 12 ooo 2 5 ooo 3 14 ooo 3 9 +-o 3 10 oo- 3 7 +o- 3 11 oo- 3 4 ooo 4 14 ooo 4 9 ooo 4 11 oo- 4 10 oo- 4 6 oo- 5 12 o+o 5 13 +oo 5 10 ooo 5 9 +oo 6 13 oo+ 6 11 o+o 6 10 ooo 6 9 oo+ 7 11 ooo 7 12 -o+ 7 10 -oo 7 9 o-+ 8 14 ooo 8 13 ooo 8 11 ooo 8 12 ooo ,-0.2086115485555557,0.0383
K K K K Ca Ca Ca Ca Br Br Br Br Br Br Br Br Br Br Br Br 0 16 -oo 0 14 ooo 0 12 ooo 0 19 -oo 0 13 ooo 0 8 ooo 0 15 -oo 0 10 -o- 1 17 +oo 1 15 ooo 1 10 ooo 1 18 +oo 1 11 ooo 1 9 ooo 1 14 +oo 1 12 +o+ 2 18 o-o 2 9 o-o 2 11 o-o 2 17 ooo 2 15 ooo 2 10 ooo 2 8 oo+ 2 13 ooo 3 19 o+o 3 8 o+o 3 13 o+o 3 16 ooo 3 14 ooo 3 12 ooo 3 11 ooo 3 9 oo- 4 19 -oo 4 18 o-- 4 8 ooo 4 9 --- 4 10 -o- 4 12 o-o 5 17 oo- 5 16 ooo 5 10 oo- 5 12 ooo 5 8 ooo 5 9 oo- 6 18 o-o 6 19 -oo 6 13 ooo 6 11 --o 6 14 o-o 6 15 -oo 7 17 ooo 7 16 ooo 7 15 ooo 7 14 ooo 7 11 ooo 7 13 ooo ,-2.2732337401,4.5933
Sn Te Te Te Te Pb Pb Pb 0 3 oo- 0 1 ooo 0 2 o-o 0 2 ooo 0 2 --o 0 2 -oo 1 7 --o 1 7 o-o 1 7 ooo 1 7 -oo 1 6 ooo 2 5 oo- 2 7 ooo 3 5 --o 3 5 o-o 3 5 -oo 3 5 ooo 3 6 ooo 4 6 ooo 4 6 +oo 4 6 o+o 4 6 ++o 4 7 ooo 4 5 ooo ,-0.583231385625,0.4255000000000004
